Song Name,Original Artist,Times Played,Debut,Last Seen,Current Gap
Army of One,Phish,17,2003-07-12,2016-01-17,0
Bathtub Gin,Phish,247,1989-05-26,2016-01-17,0
Bug,Amfibian,63,1999-06-24,2016-01-17,0
Crosseyed and Painless,Talking Heads,37,1996-10-31,2016-01-17,0
Down with Disease,Phish,261,1993-12-31,2016-01-17,0
Farmhouse,Phish,62,1997-11-07,2016-01-17,0
Funky Bitch,Son Seals,196,1986-12-06,2016-01-17,0
Kill Devil Falls,Phish,76,2009-06-02,2016-01-17,0
Mexican Cousin,Phish,13,2003-01-02,2016-01-17,0
Mike's Song,Phish,500,1985-02-01,2016-01-17,0
Roggae,Phish,77,1998-06-29,2016-01-17,0
Sample in a Jar,Phish,280,1993-02-04,2016-01-17,0
Saw It Again,New York!,26,1997-06-06,2016-01-17,0
Slave to the Traffic Light,Phish,224,1984-12-01,2016-01-17,0
The Curtain With,Phish,33,1987-08-09,2016-01-17,0
The Landlady,Phish,209,1990-09-13,2016-01-17,0
The Moma Dance,Phish,136,1998-06-29,2016-01-17,0
The Ocean,Led Zeppelin,1,2016-01-17,2016-01-17,0
Weekapaug Groove,Phish,465,1988-07-23,2016-01-17,0
Yarmouth Road,Phish,22,2013-07-05,2016-01-17,0
46 Days,Phish,76,2002-12-14,2016-01-16,1
555,Phish,28,2013-10-31,2016-01-16,1
Camel Walk,Phish,53,1984-11-03,2016-01-16,1
Chalk Dust Torture,Phish,444,1991-02-01,2016-01-16,1
Character Zero,Phish,188,1996-06-06,2016-01-16,1
Cities,Talking Heads,85,1984-12-01,2016-01-16,1
Golden Age,TV on the Radio,36,2009-11-27,2016-01-16,1
Halfway to the Moon,Phish,30,2010-06-19,2016-01-16,1
Harry Hood,Phish,358,1985-10-30,2016-01-16,1
Joy,Phish,37,2009-06-07,2016-01-16,1
Julius,Phish,208,1994-04-04,2016-01-16,1
Light,Trey Anastasio,74,2009-05-31,2016-01-16,1
Prince Caspian,Phish,139,1995-06-08,2016-01-16,1
Reba,Phish,376,1989-10-01,2016-01-16,1
Rift,Phish,276,1990-02-25,2016-01-16,1
Simple,Phish,157,1994-05-27,2016-01-16,1
Timber (Jerry),Josh White and Sam Gary,82,1987-04-29,2016-01-16,1
Twenty Years Later,Phish,22,2009-06-05,2016-01-16,1
Wading in the Velvet Sea,Phish,85,1997-06-06,2016-01-16,1
A Song I Heard the Ocean Sing,Phish,26,2004-06-17,2016-01-15,2
Also Sprach Zarathustra,"Strauss, as interpreted by Deodato",207,1993-07-16,2016-01-15,2
David Bowie,Phish,467,1986-10-31,2016-01-15,2
Drowned,The Who,41,1995-10-31,2016-01-15,2
Free,Phish,162,1995-05-14,2016-01-15,2
Fuego,Phish,31,2013-10-31,2016-01-15,2
Ghost,Phish,145,1997-06-06,2016-01-15,2
Halley's Comet,Phish,119,1986-05-17,2016-01-15,2
Martian Monster,Phish,11,2014-10-31,2016-01-15,2
My Soul,Clifton Chenier,73,1997-02-13,2016-01-15,2
